model,dataset,valid_standard,valid_debate,yesno_standard,yesno_debate,omission_standard,omission_debate,anova_p,takeaway_cn,takeaway_en,status_cn,status_en
DeepSeek,Exp2,1.0,1.0,0.42261904761904767,0.1964285714285712,0.5297619047619048,0.255952380952381,2.8749991413138597e-11,强支持,Strong support,两类 bias 均明显下降。,Both bias types decreased clearly.
DeepSeek,Exp3,1.0,1.0,0.8333333333333334,0.37500000000000017,0.6666666666666666,0.46726190476190466,1.55701684258975e-67,强支持,Strong support,两类 bias 均下降，但题目异质性更高。,"Both bias types decreased, with stronger item heterogeneity."
Alibaba Qwen3.6,Exp2,1.0,1.0,0.15476190476190485,0.04464285714285715,0.3214285714285715,0.28571428571428564,6.92535888376771e-63,强支持,Strong support,yes-no 改善最明显，omission 小幅下降。,"The largest gain was on yes-no bias, with a smaller omission gain."
Alibaba Qwen3.6,Exp3,1.0,1.0,0.556547619047619,0.24404761904761907,0.5,0.22023809523809532,1.74506529826193e-62,强支持,Strong support,两类 bias 均稳定下降。,Both bias types decreased consistently.
Zhipu GLM-5.1,Exp3,1.0,0.9136904761904762,0.7261904761904763,0.5039897073106782,0.8333333333333334,0.41685395707004447,0.0066702419989395,有前景但稳健性较弱,Promising but less robust,平均 bias 下降，但 debate 有效率偏低。,"Average bias decreased, but debate validity was lower."
Qwen local,Exp2,1.0,0.9990079365079365,0.36011904761904767,0.3273809523809524,0.026785714285714333,0.22321428571428573,3.52329490634461e-39,混合结果,Partial / mixed,yes-no 小幅下降，但 omission 上升。,"Yes-no bias decreased slightly, but omission bias increased."
Gemma 4 31B,Exp2,1.0,1.0,0.16666666666666666,0.011904761904761918,0.16666666666666666,0.2142857142857142,5.19470260477354e-36,混合结果,Partial / mixed,yes-no 明显下降，但 omission 上升。,"Yes-no bias dropped sharply, but omission bias increased."
Gemini 2.5 Flash,Exp2,1.0,0.9990079365079365,0.035714285714285664,0.17830086580086577,0.20238095238095233,0.1071428571428572,3.37476315359149e-07,混合结果,Partial / mixed,omission 下降，但 yes-no 上升。,"Omission bias decreased, but yes-no bias increased."
