model_id,pc1,pc2
aliyun_qwen36,-1.6708653593298919,-1.0047321600428274
deepseek_chat,1.8258706230037436,-1.2047383228359518
deepseek_v4flash,3.8115455722872893,-0.7262743416819764
deepseek_v4pro,3.737645911939035,-3.528123625254217
gemini25_flash,-1.8404152179357924,-1.5065286265122073
gemma4_31b,-2.2356217553063016,-2.481423835704742
gemma4_31b_api,-1.9083599210800362,1.773817016933853
gemma4_e4b_base,3.142279684407508,1.1206147636300328
gemma4_e4b_sft,-1.6507844034473453,1.451824353405768
pilot_api_sycophancy_24x4,-0.49252872773773276,0.28190770777648255
pilot_deepseek_joint_top3,-0.26142929643567536,0.1871438611496324
qwen3_32b_awq,-2.8030852003899738,-2.9963377794205672
qwen3_32b_local,-1.901115523631478,1.9857004597921433
qwen3_4b_base,6.292490870813938,0.36183675132258053
qwen3_4b_expanded_sft,-2.097935914435847,1.8529624497445922
qwen3_4b_expanded_sft_dpo,-2.053897553843022,1.8354975930741892
qwen3_4b_structured_cr_sft,-0.2414206876649345,0.1789391991040177
qwen3_8b_base,2.8987801258226416,3.3073548663889527
smoke_api_sycophancy_methods,-0.5585571366811777,0.3089830925270111
smoke_nvidia_kimi25_std_cr,-0.5585571366811777,0.3089830925270111
zhipu_glm51,-1.434038953673771,-1.5074065159237768
